결제일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,라벨출처,근거
2025-08-23 00:00:00,시화대성주유소,시화대성주유소,60000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '주유소'가 명확히 포함되어 있으며, 60,000원은 일반적인 주유 금액 범위입니다. 예시 데이터의 주유소 패턴과 일치합니다."
2025-08-23 00:00:00,써브웨이시흥배곧신도시점,서브웨이시흥배곧신도시점,26300,중식대,1.0,Claude+규칙,"서브웨이는 샌드위치 전문 패스트푸드 체인으로, 직원 식사 목적의 거래입니다. 금액(26,300원)도 1-2인 식사비로 적절합니다."
2025-08-23 00:00:00,이루다제면소 반달섬점,이루다제면소 반달섬점,31900,중식대,0.95,Claude,"가맹점명 '이루다제면소'는 면 요리를 제공하는 음식점으로, 31,900원은 직원 식사비용으로 적합한 금액입니다. 예시의 '돈카츠석'과 동일한 음식점 카테고리입니다."
2025-08-23 00:00:00,이마트24 R안산렌보파이브점,이마트24 R안산렌보파이브점,20300,중식대,0.75,Claude,"이마트24는 편의점이며, 20,300원은 식사나 간식 구매에 적합한 금액대입니다. 편의점에서의 식품 구매는 중식대로 분류됩니다."
2025-08-23 00:00:00,비비큐시화정왕점,비비큐시화정왕점,58000,중식대,0.95,Claude,"비비큐(BBQ)는 치킨 프랜차이즈 음식점으로, 58,000원은 직원 식사 또는 회식 비용으로 적합한 금액입니다. 음식점 거래는 중식대로 분류됩니다."
2025-08-23 00:00:00,육수당 안산고잔점,육수당 안산고잔점,23000,중식대,0.95,Claude,"""육수당""은 국물 요리 전문 음식점 브랜드이며, 23,000원은 일반적인 식사 금액대입니다. 안산고잔점이라는 지점명으로 보아 음식점 체인으로 판단됩니다."
2025-08-23 00:00:00,편편집 시흥정왕점,편편집 시흥정왕점,52500,중식대,0.85,Claude,"""편편집""은 편의점 브랜드로 보이며, 52,500원은 여러 명의 식사나 간식 구매에 해당하는 금액입니다. 편의점에서의 식품 구매는 중식대로 분류됩니다."
2025-08-23 00:00:00,빠네뜨리아케이크,빠네뜨리아케이크,22900,중식대,0.85,Claude,"빠네뜨리아는 베이커리/케이크 전문점으로, 직원 간식이나 회의용 케이크 구매로 판단됩니다. 금액(22,900원)도 소규모 케이크나 빵 구매에 적합하며, 식음료 관련 복리후생 성격의 중식대로 분류됩니다."
2025-08-23 00:00:00,김종구부산어묵 정왕점,김종구부산어묵 정왕점,25700,중식대,0.92,Claude,"김종구부산어묵은 어묵 전문 음식점으로, 25,700원은 직원 식사비용으로 적합한 금액입니다. 명확한 음식점 상호명으로 중식대로 분류됩니다."
2025-08-23 00:00:00,여우애김밥 안산반달섬점,여우애김밥 안산반달섬점,22800,중식대,1.0,Claude+규칙,"가맹점명 '여우애김밥'은 김밥 전문 음식점으로, 금액 22,800원은 직원 식사비용으로 적합합니다. 예시의 '디델리라볶이'와 동일한 음식점 카테고리입니다."
2025-08-23 00:00:00,공일돈까스 안산MTV점,공일돈까스 안산MTV점,13700,중식대,1.0,Claude+규칙,"가맹점명 '공일돈까스'는 명확한 음식점이며, 금액 13,700원은 일반적인 식사 비용에 해당합니다. 돈까스 전문점은 중식대 카테고리에 포함됩니다."
2025-08-23 00:00:00,오투닭갈비&부대찌개 반달섬점,오투닭갈비부대찌개 반달섬점,86000,중식대,0.95,Claude,"가맹점명 '오투닭갈비부대찌개'는 명확한 음식점이며, 86,000원은 직원 식사비용으로 적절한 금액입니다. 예시의 'THE 두루치기'와 동일한 음식점 카테고리입니다."
2025-08-23 00:00:00,동광석유(주)역전주유소,동광석유역전주유소,70000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '석유', '주유소'라는 명확한 키워드가 포함되어 있으며, 70,000원은 일반적인 주유 금액 범위입니다. 예시 데이터의 주유소 패턴과 일치합니다."
