승인일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,라벨출처,근거
2025-08-30 00:00:00,쿠우쿠우 시흥배곧점,쿠우쿠우 시흥배곧점,69800,중식대,0.95,Claude,"쿠우쿠우는 일본식 돈카츠 전문 프랜차이즈 음식점이며, 69,800원은 직원 식사 금액으로 적절합니다. 명확한 외식업체로 중식대에 해당합니다."
2025-08-22 00:00:00,스시아이,스시아이,44000,중식대,0.95,Claude,"가맹점명 '스시아이'는 일식당(초밥집)을 의미하며, 금액 44,000원은 직원 식사비용으로 적절한 범위입니다. 음식점 거래는 중식대 카테고리에 해당합니다."
2025-08-21 00:00:00,공일돈까스 안산MTV점,공일돈까스 안산MTV점,11400,중식대,1.0,Claude+규칙,"가맹점명 '공일돈까스'는 명확한 음식점이며, 금액 11,400원은 일반적인 식사 비용에 해당합니다. 돈까스 전문점은 중식대 카테고리에 포함됩니다."
2025-08-20 00:00:00,이마트24 R안산렌보파이브점,이마트24 R안산렌보파이브점,16900,중식대,0.75,Claude,"이마트24는 편의점이지만, 16,900원은 편의점 소모품 구매치고는 다소 높은 금액이며, 식사나 간식 구매로 추정됩니다. 편의점 식품 구매는 중식대로 분류되나, 소모품 가능성도 있어 중간 수준의 신뢰도를 부여했습니다."
2025-08-20 00:00:00,(주)삼원기업,삼원기업,60000,0276호 스타렉스 경유대,1.0,정확일치,
2025-08-18 00:00:00,SK대로셀프주유소,SK대로셀프주유소,200000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 'SK'와 '셀프주유소'라는 명확한 주유소 키워드가 포함되어 있으며, 20만원은 일반적인 주유 금액 범위에 해당합니다."
2025-08-16 00:00:00,쿠우쿠우 시흥배곧점,쿠우쿠우 시흥배곧점,34900,중식대,0.95,Claude,"쿠우쿠우는 일본식 돈카츠 전문 프랜차이즈 음식점이며, 34,900원은 전형적인 식사 금액대입니다. 음식점 거래는 중식대로 분류됩니다."
2025-08-15 00:00:00,시화대성주유소,시화대성주유소,70000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '주유소'가 명확히 포함되어 있으며, 금액(70,000원)도 일반적인 주유 금액 범위에 해당합니다. 예시 데이터의 패턴과 일치합니다."
2025-08-15 00:00:00,송림복장어민물장어무한리필직영점,송림복장어민물장어무한리필직영점,8000,중식대,0.95,Claude,"가맹점명에 '장어', '무한리필', '직영점' 키워드가 포함되어 있어 음식점임이 명확합니다. 금액 8,000원은 일반적인 식사 비용에 해당하므로 중식대로 분류합니다."
2025-08-15 00:00:00,송림수산직영점,송림수산직영점,59800,중식대,0.85,Claude,"송림수산직영점은 수산물을 취급하는 음식점으로 판단되며, 59,800원은 직원 식사비용으로 적합한 금액대입니다. 예시의 서흥앤대우와 유사한 음식점 거래로 분류됩니다."
2025-08-13 00:00:00,구름계란덮밥시흥정왕점,구름계란덮밥시흥정왕점,19300,중식대,1.0,Claude+규칙,"가맹점명 '구름계란덮밥'은 명확한 음식점 브랜드이며, 금액 19,300원은 일반적인 식사 비용 범위에 해당합니다. 덮밥 전문점으로 중식대로 분류됩니다."
2025-08-12 00:00:00,빽다방(시흥정왕로데오점),빽다방,5500,중식대,0.85,Claude,"빽다방은 한국의 대표적인 커피 전문 프랜차이즈이며, 5,500원은 음료 1-2잔 가격대입니다. 카페 음료 구매는 중식대 카테고리에 해당합니다."
2025-08-08 00:00:00,THE 두루치기,THE 두루치기,31000,중식대,1.0,정확일치,
2025-08-08 00:00:00,MTV스마트주유소,MTV스마트주유소,93000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '주유소'가 명확히 포함되어 있으며, 금액(93,000원)도 일반적인 주유 금액 범위에 해당합니다. 예시 데이터의 주유소 거래 패턴과 일치합니다."
2025-08-07 00:00:00,빠네뜨리아 과자점,빠네뜨리아 과자점,41100,중식대,0.85,Claude,"빠네뜨리아는 베이커리/과자점으로, 빵이나 간식 구매로 추정됩니다. 금액(41,100원)과 업종 특성상 직원 식사 또는 간식 제공 목적의 중식대로 분류하는 것이 적절합니다."
2025-08-07 00:00:00,톡톡푸드,톡톡푸드,33000,중식대,0.85,Claude,"가맹점명 '톡톡푸드'는 음식 배달/식품 관련 서비스로 판단되며, 금액 33,000원은 일반적인 식사 비용 범위에 해당합니다. '푸드'라는 명확한 키워드와 금액 패턴을 종합하여 중식대로 분류합니다."
2025-08-06 00:00:00,(재)한국소년보호협회,한국소년보호협회,4000,기타,0.45,Claude,"한국소년보호협회는 비영리 사회단체로 추정되며, 4,000원의 소액은 후원금, 기부금, 또는 회비 성격으로 보입니다. 기존 분류 체계의 어느 카테고리에도 명확히 해당하지 않아 '기타'로 분류하되, 거래 맥락이 불분명하여 신뢰도는 낮게 평가합니다."
2025-08-06 00:00:00,본약국,본약국,33000,복리후생비(의료),1.0,Claude+규칙,"가맹점명 '본약국'은 명확하게 약국을 지칭하며, 의료 관련 지출에 해당합니다. 금액(33,000원)도 일반적인 약국 구매 패턴과 일치합니다."
2025-08-06 00:00:00,(주)성한기업,성한기업,79130,차량유지비(주유),0.75,Claude,"가맹점명 '성한기업'은 예시의 '삼원기업'과 유사한 패턴이며, 금액 79,130원은 일반적인 주유 금액대에 해당합니다. 다만 '주유소' 등의 명확한 키워드가 없어 중간 수준의 신뢰도를 부여했습니다."
2025-08-05 00:00:00,THE 두루치기,THE 두루치기,41500,중식대,1.0,정확일치,
2025-08-05 00:00:00,MTV스마트주유소,MTV스마트주유소,60000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '주유소'가 명확히 포함되어 있으며, 금액(60,000원)도 일반적인 주유 금액 범위에 해당합니다. 예시 데이터의 주유소 패턴과 일치합니다."
2025-08-04 00:00:00,라홍방마라탕 시흥배곧점,라홍방마라탕 시흥배곧점,34400,중식대,0.95,Claude,"가맹점명 '라홍방마라탕'은 중식 음식점을 명확히 지칭하며, 금액 34,400원은 직원 식사비용으로 적절한 범위입니다. 마라탕은 대표적인 중식 메뉴입니다."
2025-08-03 00:00:00,주식회사 살살녹소정왕점,주식회사 살살녹소정왕점,98000,중식대,0.85,Claude,"""살살녹소""는 한우 전문 음식점 브랜드로, 98,000원은 직원 회식 또는 접대 식사에 해당하는 금액입니다. 음식점 거래로 명확히 판단됩니다."
2025-08-02 00:00:00,정안에너지,정안에너지,70000,차량유지비(주유),1.0,Claude+규칙,"""정안에너지""는 주유소 상호명 패턴(에너지 키워드)과 일치하며, 70,000원은 일반적인 주유 금액대입니다. 예시의 ""효창에너지"" 등과 동일한 업종으로 판단됩니다."
2025-07-01 00:00:00,휴대폰메시지(승인안내)-07월분,휴대폰메시지-07월분,400,사용료,0.9090909090909091,Fuzzy,
NaT,nan,nan,1218130,기타,0.3,Claude,"가맹점명, 승인일자가 모두 누락되어 있어 거래 내역을 판단할 수 있는 정보가 부족합니다. 금액(1,218,130원)만으로는 용도를 특정할 수 없어 기타로 분류하며, 매우 낮은 신뢰도를 부여합니다."
