승인일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,라벨출처,근거
2025-07-29 00:00:00,화랑갈비시흥점,화랑갈비시흥점,45000,중식대,0.95,Claude,"가맹점명 '화랑갈비시흥점'은 명확한 음식점(갈비 전문점)이며, 금액 45,000원은 일반적인 식사 비용 범위에 해당합니다."
2025-07-28 00:00:00,빅쭌부대찌개,빅쭌부대찌개,63000,중식대,0.95,Claude,"가맹점명 '빅쭌부대찌개'는 명확한 음식점(한식당)이며, 금액 63,000원은 직원 식사비용으로 적절합니다. 예시의 '큰맘할매순대국'과 동일한 음식점 카테고리입니다."
2025-07-27 00:00:00,시흥파라다이스인도어스크린,시흥파라다이스인도어스크린,39000,기타,0.65,Claude,"인도어 스크린골프장으로 추정되며, 접대비나 복리후생비 성격이지만 현재 분류체계에 해당 카테고리가 없어 '기타'로 분류. 금액(39,000원)은 1인 스크린골프 이용료와 부합."
2025-07-27 00:00:00,시흥파라다이스인도어스크린,시흥파라다이스인도어스크린,44000,기타,0.65,Claude,"인도어 스크린 골프장으로 추정되며, 접대비나 복리후생비 성격이지만 현재 분류 체계에 해당 카테고리가 없어 '기타'로 분류. 금액(44,000원)은 1-2인 스크린골프 이용료와 부합."
2025-07-26 00:00:00,중국성,중국성,24000,중식대,0.95,Claude,"가맹점명 '중국성'은 중식당을 의미하며, 24,000원은 일반적인 식사 금액대입니다. 명확한 음식점 거래로 판단됩니다."
2025-07-25 00:00:00,빅쭌부대찌개,빅쭌부대찌개,42000,중식대,0.95,Claude,"가맹점명 '빅쭌부대찌개'는 명확한 음식점(한식당)이며, 금액 42,000원은 직원 식사비용으로 적절한 범위입니다. 부대찌개는 대표적인 한식 메뉴로 중식대 카테고리에 해당합니다."
2025-07-25 00:00:00,오박집,오박집,86000,중식대,0.85,Claude,"""오박집""은 한국식 음식점 상호명 패턴이며, 86,000원은 여러 명의 식사 금액으로 적절합니다. 중식대(직원 식사비) 카테고리에 해당합니다."
2025-07-24 00:00:00,화랑갈비시흥점,화랑갈비시흥점,66000,중식대,0.95,Claude,"가맹점명 '화랑갈비시흥점'은 명확한 음식점(갈비집)이며, 금액 66,000원은 일반적인 식사 비용 범위입니다. 점심 또는 저녁 식대로 판단됩니다."
2025-07-24 00:00:00,시흥파라다이스인도어스크린,시흥파라다이스인도어스크린,44000,기타,0.65,Claude,"인도어 스크린 시설은 골프연습장으로 추정되며, 현재 분류체계에 명확히 해당하는 카테고리가 없습니다. 복리후생비나 접대비 성격일 수 있으나, 제시된 카테고리 중에는 '기타'가 가장 적합합니다."
2025-07-23 00:00:00,밥주까회주까,밥주까회주까,114000,중식대,1.0,Claude+규칙,"가맹점명 '밥주까회주까'는 음식점을 나타내는 명확한 키워드('밥', '회')를 포함하고 있으며, 114,000원은 직원 식사비용으로 적절한 금액대입니다."
2025-07-20 00:00:00,목구멍 시흥정왕점,목구멍 시흥정왕점,110000,중식대,0.92,Claude,"""목구멍""은 한국의 대표적인 닭갈비/막창 프랜차이즈 음식점이며, 11만원의 금액은 직원 회식 또는 업무 관련 식사로 적합한 범위입니다."
2025-07-19 00:00:00,중국성,중국성,24000,중식대,0.95,Claude,"가맹점명 '중국성'은 중식당을 의미하며, 24,000원은 일반적인 식사 금액대입니다. 예시의 '비젼라이프'도 중식대로 분류된 것을 참고할 때 명확한 식대 거래입니다."
2025-07-18 00:00:00,시흥파라다이스인도어스크린,시흥파라다이스인도어스크린,61000,기타,0.65,Claude,"인도어 스크린 시설은 골프연습장으로 추정되며, 현재 분류체계에 명확히 해당하는 카테고리가 없습니다. 복리후생비나 접대비 성격일 수 있으나 기존 카테고리와 직접 매칭되지 않아 '기타'로 분류합니다."
2025-07-18 00:00:00,스마트허브주유소,스마트허브주유소,100000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '주유소'가 명확히 포함되어 있으며, 10만원의 금액은 일반적인 주유 금액 범위에 해당합니다. 예시 데이터의 패턴과 일치합니다."
2025-07-18 00:00:00,평양즉석왕족발,평양즉석왕족발,46000,중식대,0.95,Claude,"가맹점명 '평양즉석왕족발'은 족발 전문 음식점으로, 금액 46,000원은 직원 식사비용으로 적합합니다. 음식점 거래는 중식대로 분류됩니다."
2025-07-17 00:00:00,화랑갈비시흥점,화랑갈비시흥점,35000,중식대,0.95,Claude,"가맹점명 '화랑갈비시흥점'은 음식점(갈비 전문점)을 명확히 나타내며, 금액 35,000원은 일반적인 식사 비용 범위에 해당합니다."
2025-07-16 00:00:00,밥주까회주까,밥주까회주까,134000,중식대,1.0,Claude+규칙,"가맹점명 '밥주까회주까'는 음식점 상호로, '밥'과 '회'라는 키워드가 명확히 식사 제공 업소임을 나타냅니다. 금액 134,000원은 다수 인원의 식사비로 적절하며, 예시의 '큰맘할매순대국'과 동일한 음식점 카테고리입니다."
2025-07-16 00:00:00,시흥파라다이스인도어스크린,시흥파라다이스인도어스크린,66000,기타,0.65,Claude,"인도어 스크린 시설은 골프연습장으로 추정되며, 현재 분류체계에 명확히 해당하는 카테고리가 없습니다. 복리후생비나 접대비 성격일 수 있으나 기존 카테고리와 직접 매칭되지 않아 '기타'로 분류합니다."
2025-07-15 00:00:00,화랑갈비시흥점,화랑갈비시흥점,66000,중식대,0.95,Claude,"가맹점명 '화랑갈비시흥점'은 명확한 음식점(갈비 전문점)이며, 금액 66,000원은 일반적인 식사 비용 범위에 해당합니다."
2025-07-14 00:00:00,빅쭌부대찌개,빅쭌부대찌개,50000,중식대,0.95,Claude,"가맹점명 '빅쭌부대찌개'는 명확한 음식점(한식당)이며, 금액 50,000원은 직원 식사비용으로 적절한 범위입니다. 부대찌개는 대표적인 한식 메뉴로 중식대 카테고리에 해당합니다."
2025-07-13 00:00:00,팡파르,팡파르,400000,기타,0.45,Claude,"'팡파르'는 명확한 업종 키워드가 없어 판단이 어렵습니다. 40만원이라는 금액은 중식대치고는 다소 높고, 주유비나 소모품비와도 맞지 않아 추가 확인이 필요합니다."
