승인일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,라벨출처,근거
2025-08-29 00:00:00,시화대성주유소,시화대성주유소,86000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '주유소'가 명확히 포함되어 있으며, 86,000원은 일반적인 주유 금액 범위입니다. 예시 데이터의 주유소 패턴과 일치합니다."
2025-08-28 00:00:00,트레이더스 안산점,트레이더스 안산점,215820,소모품비,0.75,Claude,"트레이더스는 코스트코 계열의 대형 도매 창고형 매장으로, 주로 사무용품, 소모품, 생필품을 대량 구매하는 곳입니다. 금액(215,820원)도 소모품 대량 구매에 적합한 수준입니다."
2025-08-28 00:00:00,시흥서해로타리클럽,시흥서해로타리클럽,500000,기타,0.65,Claude,"로타리클럽은 사회봉사단체로, 회비/후원금/기부금 성격의 거래로 추정됩니다. 기존 분류체계에 명확히 해당하는 카테고리가 없어 '기타'로 분류하며, 거래 성격상 추가 확인이 필요합니다."
2025-08-24 00:00:00,스틸카용품부품,스틸카용품부품,4411000,소모품비,0.75,Claude,"가맹점명 '스틸카용품부품'은 차량 관련 용품이나 부품을 판매하는 업체로 추정되며, 441만원의 금액은 차량 부품이나 소모품 구매에 해당할 가능성이 높습니다. 다만 차량유지비(기타)의 정비 항목일 가능성도 있어 중간 수준의 신뢰도를 부여했습니다."
2025-08-20 00:00:00,쿠팡(주)-쿠팡(주),쿠팡-쿠팡,39400,회사물품구입비,1.0,정확일치,
2025-08-20 00:00:00,쿠팡(주)-쿠팡(주),쿠팡-쿠팡,58120,회사물품구입비,1.0,정확일치,
2025-08-19 00:00:00,백만불삼계탕,백만불삼계탕,45000,중식대,0.95,Claude,"가맹점명 '백만불삼계탕'은 명확한 음식점(삼계탕 전문점)이며, 금액 45,000원은 직원 식사비용으로 적절한 범위입니다."
2025-08-19 00:00:00,정안에너지,정안에너지,50000,차량유지비(주유),1.0,Claude+규칙,"가맹점명 '정안에너지'는 주유소를 의미하는 '에너지' 키워드를 포함하고 있으며, 예시의 '효창에너지', '대지석유' 등과 유사한 패턴입니다. 금액 50,000원은 일반적인 주유 금액대에 해당합니다."
2025-08-16 00:00:00,SKT-자동납부-044043,SKT-자동납부-044043,71810,사용료,0.95,Claude,"SKT(SK텔레콤) 자동납부는 통신서비스 월정액 요금으로, 사용료 카테고리에 명확히 해당합니다. 자동결제 패턴과 금액대가 일반적인 통신요금과 일치합니다."
2025-08-16 00:00:00,SKT-자동납부-647179,SKT-자동납부-647179,156490,사용료,0.95,Claude,"SKT(SK텔레콤) 자동납부는 통신서비스 요금으로, 사용료 카테고리에 명확히 해당합니다. 자동결제 패턴과 금액대가 법인 통신비의 전형적인 특징을 보입니다."
2025-08-12 00:00:00,트레이더스 안산점,트레이더스 안산점,91100,소모품비,0.75,Claude,"트레이더스는 코스트코 계열의 대형 창고형 할인매장으로, 주로 사무용품, 생활용품, 소모품 등을 대량 구매하는 곳입니다. 91,100원의 금액은 사무실 소모품이나 비품 구매에 적합한 범위입니다."
2025-08-12 00:00:00,편편집 시흥정왕점,편편집 시흥정왕점,35000,중식대,0.85,Claude,"""편편집""은 편의점 브랜드명으로 보이며, 35,000원은 식사 또는 간식 구매에 적합한 금액입니다. 편의점에서의 식품 구매는 중식대로 분류됩니다."
2025-08-09 00:00:00,(주)성한기업,성한기업,55760,차량유지비(주유),0.75,Claude,"제공된 예시에서 '삼원기업'이 차량 경유비로 분류된 패턴과 유사하며, '성한기업'도 주유소 관련 업체로 추정됩니다. 금액(55,760원)도 일반적인 주유 금액 범위에 해당합니다."
2025-08-08 00:00:00,서진정보통신,서진정보통신,250000,사용료,0.75,Claude,"서진정보통신은 정보통신 관련 업체로 추정되며, 통신서비스, IT 인프라, 소프트웨어 등의 사용료에 해당할 가능성이 높습니다. 25만원의 금액은 월정액 통신/IT 서비스 비용으로 적절한 수준입니다."
2025-08-08 00:00:00,DB손해보험(주)-042796572025,DB손해보험-042796572025,1199700,차량유지비(기타),0.92,Claude,"DB손해보험은 자동차보험을 포함한 손해보험사이며, 금액(약 120만원)은 차량보험료의 전형적인 범위입니다. 차량 관련 보험료는 차량유지비(기타)로 분류됩니다."
2025-08-07 00:00:00,밥주까회주까,밥주까회주까,170000,중식대,0.95,Claude+규칙,"가맹점명 '밥주까회주까'는 음식(밥)과 술(회, 주)을 제공하는 음식점으로 판단됩니다. 17만원의 금액은 회식 또는 업무 관련 식사로 적합하며, 중식대 카테고리에 해당합니다."
2025-08-03 00:00:00,(주)성한기업,성한기업,116920,차량유지비(주유),0.75,Claude,"가맹점명 '성한기업'은 주유소 관련 키워드가 명확하지 않으나, 금액 116,920원은 일반적인 차량 주유 금액 패턴과 일치합니다. 예시의 주유 거래들과 유사한 금액대이며, 기업명이 에너지/유류 관련 사업체일 가능성이 있어 차량유지비(주유)로 분류하되, 가맹점명의 불명확성으로 인해 중간 수준의 신뢰도를 부여합니다."
2025-07-01 00:00:00,휴대폰메시지(승인안내)-07월분 면제,휴대폰메시지-07월분 면제,0,사용료,0.95,Claude+규칙,"휴대폰 메시지 서비스의 월 정기 결제 건으로, 통신 관련 사용료에 해당합니다. 금액이 0원(면제)이지만 정기 결제 패턴이 명확합니다."
NaT,nan,nan,7552120,기타,0.15,Claude,"가맹점명, 승인일자가 모두 결측값(nan, NaT)이어서 거래 내역을 판단할 수 있는 정보가 전혀 없습니다. 금액만으로는 사용용도를 특정할 수 없어 기타로 분류하며, 신뢰도는 매우 낮습니다."
