승인일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,라벨출처,근거
2025-09-30 00:00:00,후불하이패스10건,후불하이패스10건,13700,차량유지비(기타),1.0,Claude+규칙,가맹점명에 '후불하이패스'라는 명확한 키워드가 포함되어 있어 고속도로 통행료 결제임을 확실히 알 수 있습니다. 하이패스는 차량유지비(기타) 카테고리의 통행료 항목에 해당합니다.
2025-09-23 00:00:00,후불하이패스8건,후불하이패스8건,10900,차량유지비(기타),1.0,Claude+규칙,가맹점명에 '후불하이패스'라는 명확한 키워드가 포함되어 있어 고속도로 통행료 결제임을 확실히 알 수 있습니다. 하이패스는 차량유지비(기타) 카테고리의 통행료에 해당합니다.
2025-09-22 00:00:00,후불하이패스8건,후불하이패스8건,14100,차량유지비(기타),1.0,Claude+규칙,가맹점명에 '후불하이패스'라는 명확한 키워드가 포함되어 있어 고속도로 통행료 결제임을 확실히 알 수 있습니다. 하이패스는 차량유지비(기타) 카테고리의 통행료에 해당합니다.
2025-09-16 00:00:00,후불하이패스2건,후불하이패스2건,3700,차량유지비(기타),1.0,Claude+규칙,가맹점명에 '후불하이패스'라는 명확한 키워드가 포함되어 있어 고속도로 통행료 결제임을 확실히 알 수 있습니다. 하이패스는 차량 통행료 자동결제 시스템으로 차량유지비(기타) 카테고리에 해당합니다.
2025-09-15 00:00:00,후불하이패스8건,후불하이패스8건,17700,차량유지비(기타),1.0,Claude+규칙,"후불하이패스는 고속도로 통행료 결제 서비스로, 차량유지비(기타) 중 통행료에 명확히 해당합니다. 8건 합산 금액 패턴도 일반적인 통행료 수준입니다."
2025-09-09 00:00:00,후불하이패스12건,후불하이패스12건,13800,차량유지비(기타),1.0,Claude+규칙,"가맹점명에 '후불하이패스'라는 명확한 키워드가 포함되어 있으며, 이는 고속도로 통행료 결제 서비스입니다. 12건의 통행료가 합산된 후불 결제로 판단됩니다."
2025-09-08 00:00:00,후불하이패스2건,후불하이패스2건,3900,차량유지비(기타),1.0,Claude+규칙,"가맹점명에 '후불하이패스'라는 명확한 키워드가 포함되어 있어 고속도로 통행료 결제임을 확실히 알 수 있습니다. 금액(3,900원)도 일반적인 통행료 수준과 일치합니다."
2025-09-03 00:00:00,후불하이패스2건,후불하이패스2건,3200,차량유지비(기타),1.0,Claude+규칙,"가맹점명에 '후불하이패스'라는 명확한 키워드가 포함되어 있어 고속도로 통행료 결제임을 확실히 알 수 있습니다. 금액(3,200원)도 일반적인 통행료 수준에 부합합니다."
2025-09-02 00:00:00,후불하이패스8건,후불하이패스8건,10500,차량유지비(기타),1.0,Claude+규칙,가맹점명에 '후불하이패스'라는 명확한 키워드가 포함되어 있어 고속도로 통행료 결제임을 확실히 알 수 있습니다. 하이패스는 차량 통행료 자동결제 시스템으로 차량유지비(기타) 카테고리에 해당합니다.
2025-09-01 00:00:00,후불하이패스4건,후불하이패스4건,7000,차량유지비(기타),1.0,Claude+규칙,가맹점명에 '후불하이패스'가 명시되어 있어 고속도로 통행료 결제임이 명확합니다. 하이패스는 차량유지비(기타) 카테고리의 통행료에 해당합니다.
NaT,nan,nan,98500,기타,0.15,Claude,"가맹점명, 승인일자가 모두 누락되어 있어 거래 내역을 분석할 수 없습니다. 금액(98,500원)만으로는 용도를 특정할 수 없어 기타로 분류하며, 신뢰도는 매우 낮습니다."
